Date of Recall,Recall,Class,Distribution
2018-10-19,Food Recall Warning (Allergen) - Emborg brand Pizza Style Dairy Free Shreds recalled due to undeclared milk,Class 1,"Alberta , British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Saskatchewan"
2018-10-17,Food Recall Warning (Allergen) - Schneiders brand Country Naturals Wieners recalled due to undeclared milk,Class 1,"Alberta , British Columbia, Manitoba, Possibly National, Saskatchewan"
2018-10-15,Updated Food Recall Warning - Certain Abbott brand formulated liquid nutrition products in 235 mL metal cans recalled due to possible bacterial contamination,--,National
2018-10-12,Food Recall Warning (Allergen) - Coconut Town brand Coconut wafer roll recalled due to undeclared milk,Class 1,Ontario
2018-10-11,Notification - Euro-Balkan Specialty Foods brand Balkan Style Kajmak Cream Cheese Product recalled due to a toxin produced by Staphylococcus bacteria,Class 2,Ontario
2018-10-09,"Food Recall Warning (Allergen) - ""Koushuiwa"" brand Rice Cracker (Barbecue Flavor) and Squid Snack (Hot & Spicy) recalled due to undeclared sesame and squid",Class 3,Ontario
2018-10-09,Food Recall Warning (Allergen) - Ten Ten Dim Sum brand Dumplings recalled due to undeclared egg,Class 3,Ontario
2018-10-05,Notification - Frank brand Jerky and Beef Snack Sticks recalled due to mould,Class 3,National
2018-10-04,Notification - Various brands of oysters recalled by Oyster Kings due to generic E. coli,Class 2,"Alberta , British Columbia, Nova Scotia, Ontario, Quebec"
2018-10-04,Food Recall Warning (Allergen) - Carstairs Ideal Weight Loss and Nutritional Ketosis brand protein bars recalled due to undeclared soy,Class 3,National
2018-10-02,Food Recall Warning - Certain $10 Chicken Fries recalled due to Salmonella,Class 1,National
2018-09-28,Updated Food Recall Warning - Certain Arctic Gardens brand Veg-e Protein products recalled due to defective packaging,Class 3,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec"
2018-09-28,Food Recall Warning (Allergen) - Lavite brand Soft-Dried Mango recalled due to undeclared sulphites,Class 1,Ontario
2018-09-27,Notification - French's brand Ketchup recalled due to spoilage,Class 3,National
2018-09-27,Food Recall Warning - Arctic Gardens brand Veg-e Protein products recalled due to defective packaging,Class 3,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec"
2018-09-25,Food Recall Warning (Allergen) - 365 Everyday Value brand Salted White Corn Tortilla Chips recalled due to undeclared milk,Class 1,Ontario
2018-09-24,Food Recall Warning - Cabot brand Oysters recalled due to Salmonella,Class 2,"Nova Scotia, Possibly National, Quebec"
2018-09-23,Food Recall Warning - Certain Abbott Two Cal brand and Abbott Promote brand formulated liquid diet products recalled due to possible bacterial contamination,Class 1,National
2018-09-22,Updated Food Recall Warning - Certain Greenbelt Microgreens brand microgreens recalled due to Listeria monocytogenes,Class 1,Ontario
2018-09-21,Food Recall Warning (Allergen) - Various brands of protein products recalled due to undeclared soy,Class 2,National
2018-09-21,Notification - Mr. Christie's brand Chocolate Wafers recalled due to rancidity,Class 3,National
2018-09-19,Notification - China Lily brand soya sauce recalled due to spoilage,Class 3,Ontario
2018-09-17,Food Recall Warning - Future Seafoods Inc. Malpeque Oysters brand Oysters recalled due to Salmonella,Class 2,"Possibly National, Quebec"
2018-09-12,Food Recall Warning (Allergen) - Lonely God brand Potato Rice Chips Barbecue Flavor recalled due to undeclared milk,Class 2,Ontario
2018-09-10,Notification - Califia brand Cold Brew Coffee Mocha with Almond Beverage - Dairy Free recalled due to presence of sanitizer,Class 2,National
2018-09-07,Notification - Pinty's brand chicken breast products recalled due to Listeria,Class 2,National
2018-09-06,Food Recall Warning - Compliments brand Chili Powder recalled due to Salmonella,Class 2,National
2018-09-06,Updated Food Recall Warning (Allergen) - Fresh lychees recalled due to undeclared sulphites,Class 1,"Alberta , British Columbia, Manitoba, Ontario, Possibly National, Saskatchewan"
2018-09-04,Notification - Sunny Fruit brand Dried and Organic Figs recalled due to presence of insects,Class 3,National
2018-08-31,Food Recall Warning (Allergen) - Fresh lychees recalled due to undeclared sulphites,Class 1,"Alberta , British Columbia, Ontario"
2018-08-31,"Food Recall Warning (Allergen) - Sugar and Spun brand Cotton Candy recalled due to undeclared eggs, milk, peanut and wheat",Class 2,National
2018-08-30,Updated Food Recall Warning - Pinty's brand Italian Style Chicken Schnitzel recalled due to Listeria monocytogenes,Class 2,National
2018-08-29,Notification - Rodney's Oyster Depot LP brand SM Choice Oysters recalled due to Salmonella,Class 2,"Ontario, Prince Edward Island"
2018-08-25,Food Recall Warning - Certain Greenbelt Microgreens brand microgreens recalled due to Listeria monocytogenes,Class 1,Ontario
2018-08-25,Food Recall Warning (Allergen) - North Country Premium brand Bavarian Smokies recalled due to undeclared mustard and milk,Class 2,Ontario
2018-08-20,Notification - United With Earth brand Medjool Dates recalled due to presence of insects,Class 3,"Alberta , British Columbia, Manitoba, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Saskatchewan"
2018-08-10,Food Recall Warning (Allergen) - Various brands of protein products recalled due to undeclared soy,Class 2,National
2018-08-08,Food Safety Warning - Dole brand Baby Spinach with Tender Reds recalled due to Listeria monocytogenes,Class 2,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Possibly National, Prince Edward Island"
2018-08-03,Notification - Huîtres la Chipagane Oysters brand Cocktail Oysters recalled due to Salmonella,Class 2,"Ontario, Quebec"
2018-08-03,Food Recall Warning (Allergen) - Oguraya Bakery brand Buns recalled due to undeclared milk,Class 2,"Alberta , British Columbia, Ontario"
2018-08-03,Notification - Mallet / L'Étang Ruisseau Bar Ltée. brand Cocktail American Oysters recalled due to Salmonella,Class 2,"Newfoundland and Labrador, Nova Scotia, Ontario"
2018-08-02,Food Recall Warning - Oysters recalled due to Salmonella,Class 2,"Nova Scotia, Ontario, Possibly National"
2018-08-02,Food Recall Warning (Allergen) - Potato Chips imported by Han-Ka Export-Import Ltd. recalled due to undeclared milk,Class 2,"Alberta , British Columbia, Ontario"
2018-07-27,Updated Food Recall Warning (Allergen) - Wulama brand Fish Tofu and Want Want brand Shake Jelly products recalled due to undeclared allergens,Class 1,Ontario
2018-07-24,Notification - Prana Biologique brand Dried Figs recalled due to presence of insects,Class 3,National
2018-07-23,Food Recall Warning - Pepperidge Farm brand Goldfish Flavour Blasted Xtreme Cheddar Crackers recalled due to Salmonella,Class 2,National
2018-07-21,Food Recall Warning - Certain $10 Chicken Fries recalled due to Salmonella,Class 1,National
2018-07-20,Food Recall Warning - Christie brand Ritz Bits Sandwiches (Cheese and Pizza Flavours) recalled due to Salmonella,Class 2,National
2018-07-20,Food Recall Warning - Certain No Name brand Chicken Nuggets recalled due to Salmonella,Class 1,National
2018-07-16,Food Recall Warning (Allergen) - Cedar brand spreads recalled due to undeclared sesame and soy,Class 2,National
2018-07-13,Food Recall Warning - Europe's Best brand Field Berry Mixes recalled due to Salmonella,Class 2,National
2018-07-13,Food Recall Warning (Allergen) - Certain Organica brand pickle in olive oil products recalled due to undeclared mustard,Class 1,Ontario
2018-07-13,Notification - Sunny Fruit brand Organic Figs recalled due to presence of insects,Class 3,National
2018-07-12,Notification - Great Value brand Pickled Sliced Jalapeno Peppers recalled due to pieces of glass,Class 2,National
2018-07-06,Updated Food Recall Warning (Allergen) - Wulama brand Fish Tofu recalled due to undeclared egg and sesame,Class 1,Ontario
2018-06-29,"Food Recall Warning (Allergen) - Certain Nanfang brand, Want Want brand and Chencun brand products recalled due to undeclared allergens",Class 1,Ontario
2018-06-29,Food Recall Warning - Certain extra lean ground beef products recalled due to E. coli O157,Class 1,Ontario
2018-06-15,Food Recall Warning - Now Real Food brand Zesty Sprouting Mix recalled due to Salmonella,Class 1,National
2018-06-15,"Food Recall Warning (Allergen) - Mrakovic Meat & Deli brand The Original Mrakovic Burger recalled due to undeclared egg, rye, sesame, soy, and wheat",Class 1,Ontario
2018-06-15,Notification - Pecorino brand Hard Cheese from Sheep Milk recalled due to E. coli,Class 2,"Ontario, Quebec"
2018-06-07,Updated Food Recall Warning - Evergreen Herbs brand Pea Shoots recalled due to Listeria monocytogenes,Class 1,"British Columbia, Possibly National"
2018-06-06,Notification - Stella Artois brand beer recalled due to the potential presence of pieces of glass,Class 3,"Manitoba, Ontario, Quebec"
2018-06-05,Notification - Iron Vegan Sprouted Protein brand protein bars recalled due to pieces of metal,Class 2,National
2018-06-02,Food Recall Warning - Certain no name brand Chicken Burgers recalled due to Salmonella,Class 1,National
2018-05-26,Food Recall Warning - Select Love Child Organics brand and PC Organics brand baby food pouches recalled due to packaging defects that may allow the entry of spoilage microorganisms,Class 2,National
2018-05-25,Food Recall Warning (Allergen) - Ruffles brand Regular Potato Chips recalled due to undeclared milk,Class 1,Ontario
2018-05-18,Updated Food Recall Warning (Allergen) - Jongga brand Kimchi Ramen dried soup mix recalled due to undeclared milk,Class 1,"Alberta , British Columbia, Manitoba, Ontario, Possibly National, Quebec"
2018-05-17,Updated Food Recall Warning - Certain smoked fish products sold from Four Seasons Marketplace recalled due to potential presence of dangerous bacteria,Class 1,Ontario
2018-05-17,Updated Food Recall Warning (Allergen) - Fisher Ma Ma and Liao Bu De brand fish products recalled due to undeclared egg,Class 1,"British Columbia, Manitoba, New Brunswick, Ontario, Possibly National, Prince Edward Island, Quebec, Saskatchewan"
2018-05-15,"Updated Food Recall Warning - Whole Foods Market recalls Reblochon Cheese ""raw cow cheese"" due to E.coli O26",Class 1,Ontario
2018-05-14,"Food Recall Warning - Haute Montagne brand raw milk cheese ""Reblochon de Savoie (AOP) au lait cru"" recalled due to E. coli O26",Class 1,"Alberta , British Columbia, Ontario, Possibly National, Quebec"
2018-05-14,Food Recall Warning (Allergen) - Preservation Society brand marmalade and jam recalled due to undeclared sulphites,Class 2,"Ontario, Quebec"
2018-05-13,Food Safety Warning - Certain Four Seasons Marketplace brand refrigerated packaged smoked salmon products may be unsafe due to potential presence of dangerous bacteria,--,Ontario
2018-05-11,Food Recall Warning - illy brand whole coffee beans recalled due to swelling cans from missing air valve,Class 3,National
