Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Company,Domain name,company
0,0,0,Agropur,agropur.com,domains
1,1,1,Bothwell Cheese,bothwellcheese.com,domains
2,2,2,Canyon Creek Food Company,canyoncreekfood.com,domains
3,3,3,Cara Operations,cara.com,domains
4,4,4,Chapman's,chapmans.ca,domains
5,5,5,Cott,cott.com,domains
6,6,6,Daiya,daiyafoods.com,domains
7,7,7,Dan-D Foods,dan-d-pak.com,domains
8,8,8,Dare Foods,darefoods.com,domains
9,9,9,Earth's Own Food Company Inc.,earthsown.com,domains
10,10,10,Gay Lea,gaylea.com,domains
11,11,11,George Weston Limited,weston.ca,domains
12,12,12,Jim Pattison Group,jimpattison.com,domains
