description,publishedAt,source,title,url,company
"Like many towns in Colorado, the box canyon village of Telluride has its late 19th-century roots in mining. There was indeed “gold in them hills,” though interestingly enough, never actually the mineral for which the town was named. These days, however, Tellu…",2018-10-07T12:00:06Z,"{'id': None, 'name': 'Thepointsguy.com'}",Top 10 Things to Do in Telluride,http://thepointsguy.com/guide/top-things-to-do-in-telluride/,Canyon Creek Food Company
"Their improbably great restaurant is at the gate of a vast wilderness and they’re battling to keep it unspoiled, Kathryn Schulz writes.",2018-09-24T09:00:00Z,"{'id': None, 'name': 'Newyorker.com'}",Why Two Chefs in Small-Town Utah Decided to Sue President Trump,https://www.newyorker.com/magazine/2018/10/01/why-two-chefs-in-small-town-utah-decided-to-sue-president-trump,Canyon Creek Food Company
"Chinook Wawa was once spoken by more than 100,000 people, from Alaska to the California border, for more than 100 years.",2018-10-03T11:08:57Z,"{'id': None, 'name': 'Bbc.com'}","Chinook Wawa, a pidgin language that combined Nootka, Chinook, French, English",http://www.bbc.com/travel/story/20181002-north-americas-nearly-forgotten-language,Canyon Creek Food Company
"Chinook Wawa was once spoken by more than 100,000 people, from Alaska to the California border, for more than 100 years.",2018-10-03T15:15:49Z,"{'id': None, 'name': 'Bbc.com'}",North America's Nearly Forgotten Language,http://www.bbc.com/travel/story/20181002-north-americas-nearly-forgotten-language?ocid=global_travel_rss,Canyon Creek Food Company
"As mega-passes continue to add resorts, now is the time to ditch single-day lift tickets for good",2018-10-10T17:54:25Z,"{'id': None, 'name': 'Outsideonline.com'}",How to Have Your Best Winter Yet,https://www.outsideonline.com/2352906/your-best-winter-yet,Canyon Creek Food Company
"Science A state-by-state breakdown of policies that could change your community. These are the top science, technology, or environment issues facing each state—plus Puerto Rico and Washington, D.C. Even if it never surfaces on the campaign trail,…",2018-10-17T11:00:00Z,"{'id': None, 'name': 'Popsci.com'}",The most important science policy issue in every state,https://www.popsci.com/important-science-issues-every-state,Canyon Creek Food Company
"Marin County may not be The City, and it isn't exactly huge, but the wooded, hilly region north of the Golden Gate has way more to offer than just excellent schools for fleeing urbanites with kids. There are, of course, the hike and bike trails that San Franc…",2018-10-11T21:40:20Z,"{'id': None, 'name': '7x7.com'}","The Ultimate Guide to Marin: Where to eat, drink, play + stay across the county",http://www.7x7.com/the-ultimate-guide-to-marin-county-2609795173.html,Canyon Creek Food Company
"Abandoned places have a way of sending chills up your spine. From empty prison cells to mysterious nuclear laboratories, the US is full of fascinating, slightly unnerving places whose empty halls echo with the stories of past occupants. More »",2018-10-17T06:27:00Z,"{'id': None, 'name': 'Businessinsider.com.au'}",The eeriest abandoned place in every state,https://www.businessinsider.com.au/abandoned-places-us-states-2018-4,Canyon Creek Food Company
"There are plenty of reasons why we should be celebrating the arrival of fall - sweater weather and pumpkin spice lattes come to mind - but most importantly, it means Halloween season is upon us. More »",2018-09-26T09:46:15Z,"{'id': None, 'name': 'Businessinsider.com.au'}",The best way to celebrate Halloween in every state,https://www.businessinsider.com.au/httpswwwthisisinsidercombest-things-to-do-halloween-2018-9,Canyon Creek Food Company
"Operation Kindness' 25th annual Dog Day Afternoon, rescheduled after being rained out last month, is from 10 a.m. to 1 p.m. Saturday at their...",2018-10-12T11:51:13Z,"{'id': None, 'name': 'Dallasnews.com'}",Dog About Town: Try out those costumes this weekend,https://www.dallasnews.com/life/pets/2018/10/12/dog-town-try-costumes-weekend,Canyon Creek Food Company
