description,publishedAt,source,title,url,company
"Think chess pieces, not nesting dolls.",2018-10-15T13:00:02Z,"{'id': None, 'name': 'Cnet.com'}",Hyundai will push for more design distinction between its models - Roadshow,https://www.cnet.com/roadshow/news/hyundai-design-distinction/,Chapman's
Kitchn's Delicious Links column highlights recipes we're excited about from the bloggers we love. Follow along every weekday as we post our favorites. Perhaps the most dubious thing about Mississippi pot roast is how it came to be called that in the first pla…,2018-10-08T12:30:00Z,"{'id': None, 'name': 'Thekitchn.com'}",You Need This Mississippi Pot Roast in Your Life — Delicious Links,https://www.thekitchn.com/mississippi-pot-roast-recipe-belle-of-the-kitchen-263188,Chapman's
"Filed under: Lotus, Automotive History, Convertible, Classics Lotus Cars wants to find the first Lotus ever built, the 1948 Mark I built by Colin Chapman himself. Continue reading Lotus wants to find its first car, built by Colin Chapman Lotus wants to find i…",2018-09-24T19:25:00Z,"{'id': None, 'name': 'Autoblog.com'}","Lotus wants to find its first car, built by Colin Chapman",https://www.autoblog.com/2018/09/24/lotus-mark-i-lost-colin-chapman/,Chapman's
"Brett Kavanaugh's wife, Ashley, is the latest in a long list of examples.",2018-09-25T20:24:26Z,"{'id': 'abc-news', 'name': 'ABC News'}",What it means to 'stand by your man' in the #MeToo era,https://abcnews.go.com/US/means-stand-man-metoo-era/story?id=57909310,Chapman's
"Lotus is enlisting the help of enthusiasts, collectors, and any car hunter willing to help find the first car that company founder Colin Chapman built. The car is the Lotus Mark I, which Chapman built from a donor Austin Seven back in 1948, and it hasn't been…",2018-09-27T06:30:00Z,"{'id': None, 'name': 'Motorauthority.com'}",Hunt on to find Lotus founder Colin Chapman's first car,https://www.motorauthority.com/news/1119006_hunt-on-to-find-lotus-founder-colin-chapmans-first-car,Chapman's
"lehighvalleylive.com Dog the Bounty Hunter on Shawn Christy's trail, report says lehighvalleylive.com Dog the Bounty Hunter is headed to Ohio in search of fugitive Shawn Christy, a newspaper reports. (Associated Press file photo). Comment. By Tony Rhodin · ar…",2018-09-20T11:52:00Z,"{'id': None, 'name': 'Lehighvalleylive.com'}","Dog the Bounty Hunter on Shawn Christy's trail, report says - lehighvalleylive.com",https://www.lehighvalleylive.com/news/index.ssf/2018/09/dog_the_bounty_hunter_on_shawn.html,Chapman's
South Australia's Independent Commissioner Against Corruption reveals he was forced to make a public statement about a secret ICAC matter after Attorney-General Vickie Chapman issued her own public statement about the case.,2018-09-28T10:24:12Z,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Corruption commissioner at odds with Attorney-General over public servants,http://www.abc.net.au/news/2018-09-28/sa-corruption-commissioner-at-odds-with-attorney-general/10319152,Chapman's
"The Lotus headquarters will soon undergo a transformation. The company has submitted plans for a new customer experience center, heritage center and museum. Lotus' Friday announcement comes as the company celebrates 70 years since founder Colin Chapman built …",2018-09-30T08:00:00Z,"{'id': None, 'name': 'Motorauthority.com'}","Lotus to transform Hethel headquarters, build new customer experience center",https://www.motorauthority.com/news/1119064_lotus-to-transform-hethel-headquarters-build-new-customer-experience-center,Chapman's
"NEW YORK -- Should the Yankees have a lead in the ninth inning for Wednesday's American League Wild Card Game against the Athletics, manager Aaron Boone said that he expects to place the ball in Aroldis Chapman's left hand. • AL Wild Card Game presented by Ha…",2018-10-03T23:17:00Z,"{'id': None, 'name': 'Mlb.com'}","Boone: Chapman at full strength, ready for 9th",https://www.mlb.com/news/boone-aroldis-chapman-back-at-full-strength/c-296983936,Chapman's
"Mercedes-AMG recently hosted a special event where future owners of its Project One hypercar could spec their cars. It was at this event where AMG also revealed the final name of the car (Project One is only a code name), and according to some of the people i…",2018-09-27T15:00:00Z,"{'id': None, 'name': 'Motorauthority.com'}","AMG One hypercar, 2019 Nissan Note e-Power Nismo S, 2020 BMW X6 M: Today's Car News",https://www.motorauthority.com/news/1119024_amg-one-hypercar-2019-nissan-note-e-power-nismo-s-2020-bmw-x6-m-todays-car-news,Chapman's
Western Cape traffic authorities have had their hands full after a rockfall led to the closure of Chapman's Peak Drive and parts of the N1 near De Doorns and Worcester were closed due to two truck accidents.,2018-10-03T10:03:00Z,"{'id': 'news24', 'name': 'News24'}","News24.com | Chappies rockfall, two truck accidents keep traffic authorities busy",https://www.news24.com/SouthAfrica/News/chappies-rockfall-two-truck-accidents-keep-traffic-authorities-busy-20181003,Chapman's
A man who stomped his girlfriend to death in stairwell in Broome shopping centre is sentenced to life in prison with a minimum of 17 years.,2018-09-26T05:16:01Z,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Life sentence for man who kicked girlfriend to death in Broome stairwell,http://www.abc.net.au/news/2018-09-26/sentencing-broome-man-stomped-partner-to-death/10306442,Chapman's
Tracklist: 01. Fast Car (4:59)02. Subcity (5:13)03. Baby Can I Hold You (3:15)04. The Promise (5:28)05. I'm Ready (4:56)06. Crossroads (4:13)07. Bang Bang Bang (4:23)08. Telling Stories (3:59)09. Smoke And Ashes (6:39)10. Speak the Word (4:13)11. Wedding Song…,2018-10-04T07:38:44Z,"{'id': None, 'name': 'Irsabox.com'}",Tracy Chapman - Collection (2001),https://www.irsabox.com/3137669262-tracy-chapman-collection-2001.html,Chapman's
"Since bursting onto the underground house scene in 2011, Essex-based DJ and producer Max Chapman has since gone on a rewarding journey of energy, creativity and unconditional passion, pumping out smooth tech-house tracks that has earned him worldwide recognit…",2018-10-12T17:00:07Z,"{'id': None, 'name': 'Earmilk.com'}",Max Chapman takes us to 'Lima' in true tech-house style [EP],https://earmilk.com/2018/10/12/max-chapman-takes-us-to-lima-in-true-tech-house-style-ep/,Chapman's
"Bud Chapman never built a golf course, but his imagination pioneered remote architecture and wildly avant-garde design.",2018-10-04T13:41:20Z,"{'id': None, 'name': 'Golfdigest.com'}",Editor's Letter: Golf At The Ends Of The Earth,https://www.golfdigest.com/story/editors-letter-golf-at-the-ends-of-the-earth,Chapman's
A South Australian budget estimates committee turns into a fiery exchange with the Transport Minister stonewalling questions about two senior public servants who have suddenly gone on leave.,2018-09-27T05:36:24Z,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Minister dodges questions about Renewal SA public servants,http://www.abc.net.au/news/2018-09-27/questions-surround-renewal-sa-public-servants-on-leave/10311296,Chapman's
Tracklist: 01. Picture Of You02. Baby Can I Hold You (7' Edit)03. All That I Need (7' Edit)04. Must Have Been High05. And I06. That's How Love Goes07. Where Did You Go08 I'm Learning (Part 1)09. One Kiss At A Time10. While The World Is Going Crazy11. This Is …,2018-10-19T12:34:15Z,"{'id': None, 'name': 'Isrbx.com'}",Boyzone - Where We Belong (1998),https://www.isrbx.com/3137672476-boyzone-where-we-belong-1998.html,Chapman's
The South Australian Independent Commissioner Against Corruption (ICAC) issues an extraordinary public statement on two senior Renewal SA executives who have suddenly gone on leave.,2018-09-27T05:36:24Z,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",SA ICAC issues statement following questions about two public servants,http://www.abc.net.au/news/2018-09-27/icac-issues-statement/10311296,Chapman's
Tracklist:01 - Overture from Strange Places02 - A Cowboy Phase03 - Hell to Pay04 - Gamelan 105 - Vanity and Pride06 - Sensimilia07 - Fool in the Night08 - Gamelan 209 - Only Pretend10 - Overture Reprise11 - For OnceLine-up:Backing Vocals – Patsy MathesonBass …,2018-09-26T05:27:12Z,"{'id': None, 'name': 'Israbox.site'}",Michael Chapman - Dreaming Out Loud (1997) Lossless,https://www.israbox.site/3137667592-michael-chapman-dreaming-out-loud-1997-lossless.html,Chapman's
Keep it right here for Monday's action,2018-09-25T05:54:42Z,"{'id': None, 'name': 'Cbssports.com'}","MLB scores, schedule, live team updates, news: AL playoff field set; NL races get tighter",https://www.cbssports.com/mlb/news/mlb-scores-schedule-live-team-updates-news-al-playoff-field-set-nl-races-get-tighter/,Chapman's
