description,publishedAt,source,title,url,company
"Who among The Mandalorian’s list of directors could direct which episodes? Vincent D’Onofrio once again stokes the flames of his desire to bring Wilson Fisk to the Marvel movies. Get your first look at the Pet Sematary remake. Plus, what’s to come on the CW’s…",2018-10-05T13:10:00Z,"{'id': None, 'name': 'Gizmodo.com'}",The Speculation About Avengers 4's Real Title Rages On,https://io9.gizmodo.com/the-speculation-about-avengers-4s-real-title-rages-on-1829424654,Cott
"Kamaiyah was originally supposed to release her major-label debut Don't Ever Get It Twisted in April 2017. That didn't happen. Sample clearance issues apparently held the album up, and the Oakland rapper ended up releasing the very good Before I Wake mixtape …",2018-10-12T17:39:07Z,"{'id': None, 'name': 'Stereogum.com'}",Kamaiyah – “All I Know” (Feat. Travis Scott),https://www.stereogum.com/2018578/kamaiyah-all-i-know-feat-travis-scott/music/,Cott
"Almost a year after dropping her Before I Wake mixtape, Kamaiyah is back with her newest single, “All I Know” featuring Travis Scott. The Oakland rapper took to social media to announce the track, and informed fans that the song was actually leaked. “Someone …",2018-10-12T20:07:45Z,"{'id': None, 'name': 'Highsnobiety.com'}",Kamaiyah & Travis Scott Team up on New Single “All I Know”,https://www.highsnobiety.com/p/kamaiyah-travis-scott-all-i-know/,Cott
"As the weather cools and leaves begin to turn, visitors flock to New England to witness the seasonal spectacle. We've rounded up some architecturally significant sites across the region to check out while appreciating the autumn colours. Read more",2018-10-04T14:00:38Z,"{'id': None, 'name': 'Dezeen.com'}",Seven spots in New England for fans of both architecture and fall foliage,http://www.dezeen.com/2018/10/04/new-england-autumn-architecture-attractions-fall-foliage/,Cott
"When invasive species enter the picture, things are rarely black and white. A new article has revealed that some plant invaders could help fight climate change by making it easier for ecosystems to store 'blue carbon' -- the carbon stored in coastal environme…",2018-10-01T12:21:56Z,"{'id': None, 'name': 'Sciencedaily.com'}",Invasive plants can boost blue carbon storage,https://www.sciencedaily.com/releases/2018/10/181001082156.htm,Cott
"Collaboration from two years ago was recently leaked, according to Kamaiyah",2018-10-13T01:50:25Z,"{'id': None, 'name': 'Rollingstone.com'}","Kamaiyah, Travis Scott’s ‘All I Know’ Sounds Like the Song of the Summer in October",https://www.rollingstone.com/music/music-news/kamaiyah-travis-scotts-all-i-know-new-song-737337/,Cott
"Tim Allen teases an emotional Toy Story 4. There’s a few tiny rumors about the progress of The Batman. Joaquin Phoenix takes a miserable-sounding call in new Joker set footage. Plus, what’s to come on The Flash and Black Lightning, two new clips from Venom, a…",2018-09-28T13:25:00Z,"{'id': None, 'name': 'Gizmodo.com'}",Simon Kinberg Hints at an Intriguing Tone for the Gambit Movie,https://io9.gizmodo.com/simon-kinberg-hints-at-an-intriguing-tone-for-the-gambi-1829257664,Cott
"When invasive species enter the picture, things are rarely black and white. A new paper has revealed that some plant invaders could help fight climate change by making it easier for ecosystems to store ""blue carbon""—the carbon stored in coastal environments l…",2018-10-01T06:24:09Z,"{'id': None, 'name': 'Phys.org'}",Invasive plants can boost blue carbon storage,https://phys.org/news/2018-10-invasive-boost-blue-carbon-storage.html,Cott
"When “Riverdale” returns for its third season this fall, the Jones family will be getting a little bigger. Gina Gershon has been cast as Gladys Jones, Jughead’s (Cole Sprouse) mother, while Trinity Likins will play Jellybean “JB” Jones, Jughead’s sister. Glad…",2018-10-07T14:45:11Z,"{'id': None, 'name': 'Variety.com'}",‘Riverdale’ Season 3 Casts Gina Gershon and Trinity Likins,https://variety.com/2018/tv/news/riverdale-season-3-gina-gershon-trinity-likins-gladys-jellybean-jones-1202971426/,Cott
"Scott Kelly, a retired American astronaut with multiple space flights under his belt, apologized Sunday after quoting Winston Churchill and calling the 20th century British prime minister ""one of the greatest leaders of modern times.""",2018-10-08T02:34:38Z,"{'id': None, 'name': 'Washingtonexaminer.com'}",Astronaut sorry for 'offending' by praising Winston Churchill...,https://www.washingtonexaminer.com/news/astronaut-scott-kelly-apologizes-after-quoting-praising-winston-churchill,Cott
"The CW is launching #CWOpenToAll, a new on-air, digital, social and print campaign designed to reinforce the network’s commitment to inclusion and representation. “We think this campaign really captures the spirit and mission of the CW and why our fans come t…",2018-10-14T23:00:01Z,"{'id': None, 'name': 'Variety.com'}",The CW Launches #CWOpenToAll Campaign to Promote Inclusion (Watch),https://variety.com/2018/tv/news/cw-open-to-all-campaign-launch-video-1202979608/,Cott
"Last week, our Best New Tracks series spotlighted high-profile new releases from LoutGotCash, Blake, AlunaGeorge, Leven Kali, Dave East and Styles P. We continue to shine a light on all sides of the genre spectrum for the latest entry in our weekly roundup se…",2018-10-12T23:27:15Z,"{'id': None, 'name': 'Hypebeast.com'}","Best New Tracks: Tom Misch, Sampha, Mick Jenkins, Kamaiyah and Maggie Rogers",https://hypebeast.com/2018/10/best-new-tracks-sampha-mick-jenkins-kamaiyah-maggie-rogers-tom-misch,Cott
"Zendaya talks about those Little Mermaid rumors. The third Kingsman movie could be dropping next year. Matt and Foggy host an uneasy reunion in the first pictures from Daredevil ’s third season. Plus, what’s to come on Riverdale, Halloween goes documental, an…",2018-09-24T13:30:00Z,"{'id': None, 'name': 'Gizmodo.com'}",More Joker Set Pictures Tease the Rise of a New Clown Prince of Crime,https://io9.gizmodo.com/more-joker-set-pictures-tease-the-rise-of-a-new-clown-p-1829257624,Cott
Photos from the upcoming Breakfast Club-inspired flashback episode of Riverdale features all the flirtations and flings of the parents. The post Riverdale Flashback Episode Photos Reveal Doomed Relationships & More appeared first on CBR.,2018-10-18T01:30:14Z,"{'id': None, 'name': 'Cbr.com'}",Riverdale Flashback Episode Photos Reveal Doomed Relationships & More,https://www.cbr.com/riverdale-flashback-episode-photos-doomed-relationships/,Cott
