description,publishedAt,source,title,url,company
"<!--dda7bd42579b4dc0937c45f979fc5c69-->Hello everyone!! Here's a great soup to do with your kids & friends for halloween!! You Will Need:...of course a medium pumpkin,- Yellow beans - Carrots - Shallots - Chives - Asparagus - Zucchini - Mushrooms - Tomatoes -…",2018-10-08T02:55:22Z,"{'id': None, 'name': 'Instructables.com'}",Halloween Super Soup,https://www.instructables.com/id/Halloween-Super-Soup/,Daiya
<!--dda7bd42579b4dc0937c45f979fc5c69-->Here is a great soup to do with your friends and kids!! You Will Need:..of course a medium pumpkin.- yellow beans- carrots- shallots- chives- asparagus-zucchini- mushrooms- tomatoes-ginger- chia seeds (white or black)- h…,2018-10-05T22:13:37Z,"{'id': None, 'name': 'Instructables.com'}",Pumpkin Halloween Vegetable Soup,https://www.instructables.com/id/Pumpkin-Halloween-Vegetable-Soup/,Daiya
"When you're a biding by a low-dairy or dairy-free lifestyle, you don't necessarily have to cut ice cream out of your diet. Luckily many ice cream companies are making a point to expand their offerings to be more inclusive to dairy-sensitive and dairy-free cus…",2018-10-05T21:57:34Z,"{'id': None, 'name': 'Thisisinsider.com'}",12 of the best dairy-free ice creams everyone should try,https://www.thisisinsider.com/best-dairy-free-ice-creams-2018-9,Daiya
"El ruso aventajó en 1.14 segundos al japonés Daiya Seto, segundo con 51.40, y en 1.5 segundos al vigente campeón mundial de la distancia, el estadounidense Michael Andrew, tercero con 51.76.",2018-09-28T23:12:46Z,"{'id': None, 'name': 'As.com'}",Morozov fija un nuevo récord del mundo en los 100 estilos,https://as.com/masdeporte/2018/09/29/polideportivo/1538176207_391792.html,Daiya
El español Joan Lluís Pons logró este sábado la medalla de bronce en la prueba de 400 metros estilos de la prueba de la Copa del Mundo de natación en piscina corta.,2018-10-06T17:25:56Z,"{'id': None, 'name': 'As.com'}","Joan Lluís Pons, bronce en los 400 estilos de Budapest",https://as.com/masdeporte/2018/10/06/polideportivo/1538846465_084013.html,Daiya
"Les proches de Tiphaine Véron, disparue au Japon en juillet dernier, envisagent de plus en plus l'hypothèse criminelle.",2018-10-16T15:00:00Z,"{'id': None, 'name': 'Lexpress.fr'}",Française disparue au Japon: sa famille interpelle Macron,https://www.lexpress.fr/actualite/societe/fait-divers/francaise-disparue-au-japon-sa-famille-interpelle-macron_2040080.html,Daiya
Olympic medallist Chad le Clos continued his golden spree on day two of the fourth leg of the FINA Swimming World Cup in Budapest.,2018-10-05T20:46:43Z,"{'id': None, 'name': 'Sport24.co.za'}",Sport24.co.za | Chad le Clos continues golden run in Budapest,https://www.sport24.co.za/OtherSport/WaterSport/chad-le-clos-continues-golden-run-in-budapest-20181005,Daiya
"Daiya Foods is the category sales leader in non-dairy ""comfort foods,"" from cheezes to cheezecake, pizza to frozen desserts. Campaign is intended to appeal to all lovers of comfort foods, not just the dairy-adverse. Video runs on Hulu, Pinterest, Instagram an…",2018-10-03T03:47:58Z,"{'id': None, 'name': 'Bestadsontv.com'}",TV ad: Daiya: Talking Box,https://www.bestadsontv.com/ad/97588/Daiya-Talking-Box,Daiya
"VANCOUVER, British Columbia, Sept. 27, 2018 /PRNewswire/ -- Daiya, the leading maker of plant-based foods, has launched its latest national advertising campaign, ""Comfort Foods That Love You Back,"" to highlight the benefits of its extensive line of great tast…",2018-09-27T12:02:00Z,"{'id': None, 'name': 'Prnewswire.comdaiya-spotlights-comfort-food-that-loves-you-back-in-2018-ad-campaign-300719910'}","Daiya Spotlights ""Comfort Food That Loves You Back"" in 2018 Ad Campaign",https://www.prnewswire.comdaiya-spotlights-comfort-food-that-loves-you-back-in-2018-ad-campaign-300719910,Daiya
"Daiya Foods is the category sales leader in non-dairy ""comfort foods,"" from cheezes to cheezecake, pizza to frozen desserts. Campaign is intended to appeal to all lovers of comfort foods, not just the dairy-adverse. Video runs on Hulu, Pinterest, Instagram an…",2018-10-03T02:55:44Z,"{'id': None, 'name': 'Bestadsontv.com'}","Outdoor ad: Daiya: Talking Box shelf ""talker""",https://www.bestadsontv.com/ad/97589/Daiya-Talking-Box-shelf-talker,Daiya
