description,publishedAt,source,title,url,company
And Don McGahn exits as White House counsel.,2018-10-18T10:25:53Z,"{'id': 'politico', 'name': 'Politico'}",POLITICO Playbook: 19 DAYS... PENCE preps work requirement push,https://www.politico.com/newsletters/playbook/2018/10/18/19-days-pence-preps-work-requirement-push-329575,Dan-D Foods
"Burgers, chicken and hot dogs dominate the fast-growing, $684-million market for plant-based meat alternatives. And now, upstart companies are imitating the taste, smell and appearance of fish thanks to new ingredients, machinery and technologies",2018-10-15T13:52:09Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Fish: The Final Frontier in Fake Meat,https://www.wsj.com/articles/fish-the-finalfrontier-in-fake-meat-1539610151,Dan-D Foods
Welcome to Ben Greenfield's Weekly Roundup and Cool New Discoveries! Ben Greenfield's discoveries from the latest news from the fronts The post The Weekly Roundup: Your Go-To Guide For Everything You May Have Missed This Week & More! 9/29 – 10/5 appeared firs…,2018-10-05T09:00:59Z,"{'id': None, 'name': 'Bengreenfieldfitness.com'}",The Weekly Roundup: Your Go-To Guide For Everything You May Have Missed This Week & More! 9/29 – 10/5,https://bengreenfieldfitness.com/article/weekly-roundup-articles/weekly-roundup-9-29-10-5/,Dan-D Foods
In a microsimulation study Dariush Mozaffarian and colleagues model 3 different potential food choice interventions for the benefits of health outcomes and costs-savings.,2018-10-02T18:05:57Z,"{'id': None, 'name': 'Plos.org'}",Cost-effectiveness of financial incentives and disincentives for improving food purchases and health through the US Supplemental Nutrition Assistance Program (SNAP): A microsimulation study,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002661,Dan-D Foods
"One of the difficulties in resisting the Trump administration, the Republican Congressional majority, and Republican state legislatures (pl...",2018-09-27T17:15:00Z,"{'id': None, 'name': 'Shakesville.com'}",We Resist: Day 616,http://www.shakesville.com/2018/09/we-resist-day-616.html,Dan-D Foods
"Since July 26th, the date of the $2.9 billion Supervalu deal announcement, United Natural Foods shares are down 28%. United Natural Foods' leverage is set to mo",2018-10-05T03:26:42Z,"{'id': None, 'name': 'Seekingalpha.com'}",United Natural Foods: The Market Hates The Supervalu Deal; So Where Are The Activists?,https://seekingalpha.com/article/4209974-united-natural-foods-market-hates-supervalu-deal-activists,Dan-D Foods
Trump campaign aide requested online manipulation plans from Israeli intelligence firm; Kanye West expected to visit Trump at the White House,2018-10-09T15:16:07Z,"{'id': None, 'name': 'Timesofisrael.com'}","The Daily Kickoff: October 9, 2018",https://www.timesofisrael.com/the-daily-kickoff-october-9-2018/,Dan-D Foods
Here we are with Q&A #12 with Robb and Nicki for Episode 413 of The Paleo Solution Podcast! Don't forget to send in your own podcast question to use here: https://robbwolf.com/contact/submit-a-question-for-the-podcast/ Show Notes: 1. [ 1:36 ] Keto for childre…,2018-10-11T04:00:00Z,"{'id': None, 'name': 'Libsyn.com'}",Episode 413 - Q&A with Robb and Nicki #12,http://robbwolf.libsyn.com/episode-413-qa-with-robb-and-nicki-12,Dan-D Foods
"“Las empresas que se hacen querer, más que ofrecer bienes o servicios, buscan producir experiencias”, sostiene el inversionista ángel y director de empresas",2018-10-01T19:28:08Z,"{'id': None, 'name': 'Elcomercio.pe'}","Empresas que se hacen querer, por Jorge Medina",https://elcomercio.pe/economia/dia-1/empresas-jorge-medina-noticia-563357,Dan-D Foods
"Hello friends. Here is episode 6 of the Bold and Determined Podcast. In the last episode we discussed God and the meaning of life, the traits of a great man, and I promised an exorcism. What I found about exorcisms shocked me and we'll get into it. We'll also…",2018-10-11T13:00:23Z,"{'id': None, 'name': 'Boldanddetermined.com'}",Episode #6 – Bold and Determined Podcast with Victor Pride (The Exorcism of Sebastian),https://boldanddetermined.com/podcast-6/,Dan-D Foods
