description,publishedAt,source,title,url,company
"This post is part of Science of Sci-Fi, Mashable's ongoing series dissecting the science (or lack of science) in our favorite sci-fi movies, TV shows, and books. It's one of the oldest tropes in science fiction: when aliens invade Earth, we fight back. Maybe …",2018-09-21T10:00:00Z,"{'id': 'mashable', 'name': 'Mashable'}",The 10 alien species we'd most like to invade Earth right now,https://mashable.com/article/best-aliens/,Earth's Own Food Company
"NASA's not the only entity interested in returning to the moon. Now, private industry is working hard to uncover the next class of top space stocks.",2018-10-09T01:02:00Z,"{'id': None, 'name': 'Fool.com'}","Jeff Bezos and Airbus Just Announced a ""Moon Race""",https://www.fool.com/investing/2018/10/08/jeff-bezos-and-airbus-just-announced-a-moon-race.aspx,Earth's Own Food Company
Auckland is set to become ground zero of a protest against the sponsor of Team UK's 2021 America's Cup bid.,2018-10-13T16:00:00Z,"{'id': None, 'name': 'Stuff.co.nz'}",America's Cup 2021: Designer Vivienne Westwood among celebs protesting to pull Team UK sponsor Ineos,https://www.stuff.co.nz/sport/other-sports/107757952/Americas-Cup-2021-Designer-Vivienne-Westwood-among-celebs-protesting-to-pull-Team-UK-sponsor-Ineos,Earth's Own Food Company
"by Stranger Things To Do Staff This week is your last chance to see Can Can and Prom Queen's tribute to the enigmatic—and equally problematic—Mata Hari at Femme Fatale. Nate Watters Our music critics have already chosen the 43 best music shows this week, but …",2018-09-24T20:00:50Z,"{'id': None, 'name': 'Thestranger.com'}","The 78 Best Things To Do in Seattle This Week: Sept 24-30, 2018",https://www.thestranger.com/things-to-do/2018/09/24/32690252/the-78-best-things-to-do-in-seattle-this-week-sept-24-30-2018,Earth's Own Food Company
"The Stranger's arts critics recommend the best local events. by Stranger Things To Do Staff Here are our arts critics' picks for the best events in every genre—from French Cinema Now to the Fresh Hop Ale Festival, and from a conversation about the state of Am…",2018-09-24T19:30:00Z,"{'id': None, 'name': 'Thestranger.com'}",Our Arts Critics' Picks for This Week,https://www.thestranger.com/things-to-do/2018/09/24/32690252/the-79-best-things-to-do-in-seattle-this-week-sept-24-30-2018,Earth's Own Food Company
It's a group notable not just for what they're doing now but how they got there.,2018-09-24T04:01:00Z,"{'id': None, 'name': 'Adage.com'}",Ad Age's new 40 Under 40 took unexpected paths to success,https://adage.com/article/special-report-40-under-40/meet-ad-age-2018-40-under-40/315005/,Earth's Own Food Company
"Live art, optical illusions, and some seriously swish motorcycles.",2018-09-22T11:00:06Z,"{'id': None, 'name': 'Londonist.com'}",Free And Cheap Things To Do This Week In London: 24-30 September 2018,https://londonist.com/london/things-to-do/free-and-cheap-things-to-do-this-week-in-london-24-september-30-september-2018,Earth's Own Food Company
Auckland is set to become ground zero of a protest against the sponsor of Team UK's 2021 America's Cup bid.,2018-10-13T16:00:00Z,"{'id': None, 'name': 'Stuff.co.nz'}",Designer Vivienne Westwood among celebs protesting at America's Cup in 2021,https://www.stuff.co.nz/sport/other-sports/107757952/Designer-Vivienne-Westwood-among-celebs-protesting-at-Americas-Cup-in-2021,Earth's Own Food Company
A collection of activists from the United Kingdom are calling for fracking company Ineos to be pulled as the sponsor of the Team UK challenge.,2018-10-13T16:00:00Z,"{'id': None, 'name': 'Stuff.co.nz'}",Designer Vivienne Westwood among celebs protesting at America's Cup in 2021,https://www.stuff.co.nz/national/107757952/Designer-Vivienne-Westwood-among-celebs-protesting-at-Americas-Cup-in-2021,Earth's Own Food Company
"Fox As Trump looks into making a space force the sixth branch of the military, and private companies race to create commercial flights into space, it's clear that space is a major frontier for international competition. The creation of a space force is one of…",2018-10-14T20:08:00Z,"{'id': 'business-insider', 'name': 'Business Insider'}",The creation of a space force could lead to weaponization and war — here's what it might look like,https://www.businessinsider.com/neil-degrasse-tyson-heres-what-a-space-war-could-look-like-2018-10,Earth's Own Food Company
Get CTET Solved Question Paper - I of 2011. Central Teacher Eligibility Test 2011 (CTET 2011) was conducted by CBSE on 26th June.,2018-09-25T10:28:00Z,"{'id': None, 'name': 'Jagranjosh.com'}",CTET Solved Question Paper I -2011,https://www.jagranjosh.com/articles/ctet-solved-question-paper-i-2011-1310478041-1,Earth's Own Food Company
"A radical transformation of the food processing industry is required, starting with c-suite capitalists getting out of their comfort zones and embracing the ability to imagine the meal of the future, writes Roy Henderson.",2018-10-16T08:10:40Z,"{'id': 'news24', 'name': 'News24'}","News24.com | We don't have a food crisis, we have a food waste crisis",https://www.news24.com/Columnists/GuestColumn/we-dont-have-a-food-crisis-we-have-a-food-waste-crisis-20181016,Earth's Own Food Company
