description,publishedAt,source,title,url,company
"""Orange Is The New Black"" star Samira Wiley says she was in tears after being outed as gay by a co-star. Actress Samira Wiley revealed she was outed as gay by one of her ""Orange Is The New Black"" co-stars on WYNC’s Nancy podcast. October 11 is National Coming…",2018-10-11T16:55:07Z,"{'id': None, 'name': 'Thisisinsider.com'}","""Orange Is The New Black"" star Samira Wiley says she was in tears after being accidentally outed as gay by a co-star",https://www.thisisinsider.com/samira-wiley-accidentally-outed-by-a-co-star-2018-10,Gay Lea
Lady Gaga looked absolutely aahhhhhhhhAHHHHHahhhhaaaaaaaa ahhhhhhAHahhhaAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHgreatat the Los Angeles premiere of A Star is Born Monday night. Read more...,2018-09-25T16:50:00Z,"{'id': None, 'name': 'Jezebel.com'}",A Star Is Worn,https://jezebel.com/a-star-is-worn-1829302139,Gay Lea
It was a hot ticket.,2018-09-25T20:00:41Z,"{'id': None, 'name': 'Gofugyourself.com'}",Let’s See the Rest of the Premiere of A Star Is Born!,https://www.gofugyourself.com/lets-see-the-rest-of-the-premiere-of-a-star-is-born-09-2018,Gay Lea
"In honor of all the Canadians who will come dangerously close to crashing their pancreas and liver function during Thanksgiving Dinner, Michael has graciously let me take over Hot Slut today. And of course I chose Canadian Thanksgiving dinner’s unsung hero, G…",2018-10-08T14:45:43Z,"{'id': None, 'name': 'Dlisted.com'}",Hot Slut Of The Day!,http://dlisted.com/2018/10/08/hot-slut-of-the-day-1745/,Gay Lea
"Turns out people don't find gay jokes as funny as they did back in 2007 when Handler was, ya know, relevant.",2018-10-12T17:54:08Z,"{'id': None, 'name': 'Queerty.com'}",People are so over Chelsea Handler’s gay jokes about Lindsey Graham,https://www.queerty.com/people-chelsea-handlers-gay-jokes-lindsey-graham-20181012,Gay Lea
They're brewing up a new version of the Broadway hit for a Halloween special.,2018-09-28T18:48:19Z,"{'id': None, 'name': 'Advocate.com'}","Idina Menzel, Kristin Chenoweth, Ariana Grande Star in 'Wicked' Reboot",https://www.advocate.com/arts-entertainment/2018/9/28/idina-menzel-kristin-chenoweth-ariana-grande-star-wicked-reboot,Gay Lea
"The latest edition of the Gay Lea Plated email newsletter is making the rounds, and if you are signed up, you will find that the email contains a coupon valid on a variety of cheese brands from Gay Lea. Save $1 on the purchase of any Black River Cheese, Ivanh…",2018-10-03T11:13:08Z,"{'id': None, 'name': 'Smartcanucks.ca'}","Gay Lea Canada Coupons: Save $1 On Black River, Ivanhoe, or Salerno Cheeses",https://smartcanucks.ca/gay-lea-canada-coupons-save-1-on-black-river-ivanhoe-or-salerno-cheeses/,Gay Lea
"US presidents traditionally see their party lose seats in Congress in the first election after they take office, and for Donald Trump this year is likely to be no exception.  The question is, can Republicans maintain their majorities in the Senate and House o…",2018-10-05T02:04:38Z,"{'id': None, 'name': 'Yahoo.com'}",Six showdowns to watch in November...,https://www.yahoo.com/news/six-showdowns-watch-us-midterms-014348687.html,Gay Lea
"Welcome to our Election Update for Wednesday, Oct. 10! As of 9:20 a.m. Eastern time, Republicans have a 4 in 5 chance (80 percent) of holding the Senate, according to our Classic forecast. The situation is much more dire for the GOP in the House, where Democr…",2018-10-10T13:54:30Z,"{'id': None, 'name': 'Fivethirtyeight.com'}",Six Districts The GOP Appears To Have Abandoned — And Maybe Two More It Should,https://fivethirtyeight.com/features/six-districts-the-gop-appears-to-have-abandoned-and-maybe-two-more-it-should/,Gay Lea
"Here is your sneak peek of the Real Canadian Superstore Ontario flyer, valid from the 27th of September to the 3rd of October. This week, get a free PC Spiral Sliced Bone-In Half Ham, Applewood or Hickory Smoked, when you spend $225 or more on anything in the…",2018-09-25T17:12:51Z,"{'id': None, 'name': 'Smartcanucks.ca'}",Real Canadian Superstore Ontario Flyer Sneak Peek September 27th – October 3rd,https://smartcanucks.ca/real-canadian-superstore-ontario-flyer-sneak-peek-september-27th-october-3rd/,Gay Lea
