description,publishedAt,source,title,url,company
San Francisco 49ers running back Matt Breida questionable for game against Green Bay because of shoulder and ankle injuries,2018-10-13T21:18:50Z,"{'id': 'fox-sports', 'name': 'Fox Sports'}",49ers RB Matt Breida questionable for game vs. Packers,https://www.foxsports.com/nfl/story/49ers-rb-matt-breida-questionable-for-game-vs-packers-101318,George Weston Limited
"If the 49ers' leading rusher is unable to play on Monday night, the team may have to promote running back Jeff Wilson from the practice squad.",2018-10-13T20:51:34Z,"{'id': None, 'name': 'Yahoo.com'}","49ers-Packers injury report: Matt Breida practices, listed as questionable",https://sports.yahoo.com/49ers-packers-injury-report-matt-205134088.html,George Weston Limited
"SANTA CLARA, Calif. (AP) -- San Francisco 49ers running back Matt Breida is questionable for Monday night's game against the Green Bay Packers because of shoulder and ankle injuries.",2018-10-13T21:19:43Z,"{'id': None, 'name': 'Yahoo.com'}",49ers RB Matt Breida questionable for game vs. Packers,https://sports.yahoo.com/49ers-rb-matt-breida-questionable-game-vs-packers-211943651--nfl.html,George Weston Limited
"Cornerback Ahkello Witherspoon, who is on pace to be cleared through the NFL's concussion protocol, is likely to start Sunday against the Los Angeles Rams, 49ers coach Kyle Shanahan said Friday. Witherspoon is expected to start in place of Jimmie Ward, who re…",2018-10-19T20:47:26Z,"{'id': None, 'name': 'Yahoo.com'}","49ers, Rams injury reports: Ahkello Witherspoon in line to start, Richard Sherman questionable",https://sports.yahoo.com/49ers-rams-injury-reports-ahkello-204726771.html,George Weston Limited
NBCSports.com 49ers open practice week with eight offensive players sidelined NBCSports.com SANTA CLARA – The 49ers were missing eight offensive players Thursday during their first practice in preparation to face the Green Bay Packers. Among the players who w…,2018-10-12T00:08:27Z,"{'id': None, 'name': 'Nbcsports.com'}",49ers open practice week with eight offensive players sidelined - NBCSports.com,https://www.nbcsports.com/bayarea/49ers/49ers-open-practice-week-eight-offensive-players-sidelined,George Weston Limited
This summer's heatwave and winter freeze brought home how vulnerable new builds can be to extreme weather.,2018-10-02T16:48:38Z,"{'id': None, 'name': 'Homesandproperty.co.uk'}",Many new buildings dangerously unprepared for climate change,https://www.homesandproperty.co.uk/property-news/buying/new-homes/extreme-heat-and-arctic-winters-londons-new-buildings-withstand-climate-change-a124501.html,George Weston Limited
"NBCSports.com 49ers ponder signing another running back, third quarterback to roster NBCSports.com SANTA CLARA -- Two weeks ago, the 49ers brought in seven quarterbacks to work out after Jimmy Garoppolo sustained his season-ending knee injury. While Tom Savag…",2018-10-09T05:56:04Z,"{'id': None, 'name': 'Nbcsports.com'}","49ers ponder signing another running back, third quarterback to roster - NBCSports.com",https://www.nbcsports.com/bayarea/49ers/49ers-ponder-signing-another-running-back-third-quarterback-roster,George Weston Limited
"NBCSports.com 49ers snap count: Solomon Thomas plays least of any D-linemen vs. Packers NBCSports.com One of the big disappointments of the first half of the 49ers' season has been the dwindling production and playing time of Solomon Thomas, the No. 3 overall…",2018-10-16T20:33:43Z,"{'id': None, 'name': 'Nbcsports.com'}",49ers snap count: Solomon Thomas plays least of any D-linemen vs. Packers - NBCSports.com,https://www.nbcsports.com/bayarea/49ers/49ers-snap-count-solomon-thomas-plays-least-any-d-linemen-vs-packers,George Weston Limited
NBCSports.com Kyle Shanahan explains 49ers' end-of-game play calls vs. Packers NBCSports.com The 49ers had a chance to win the game with some production on their final three offensive possessions Monday night. The 49ers had success on the ground with running …,2018-10-17T03:30:03Z,"{'id': None, 'name': 'Nbcsports.com'}",Kyle Shanahan explains 49ers' end-of-game play calls vs. Packers - NBCSports.com,https://www.nbcsports.com/bayarea/49ers/kyle-shanahan-explains-49ers-end-game-play-calls-vs-packers,George Weston Limited
"The 49ers make their first of three (down from four) prime-time appearances in five weeks on Monday. Six of their offensive starters are listed as questionable in advance of the game against the Packers. They are running back Matt Breida (shoulder, ankle), re…",2018-10-13T22:51:18Z,"{'id': None, 'name': 'Yahoo.com'}",Six 49ers offensive starters questionable for Monday,https://sports.yahoo.com/six-49ers-offensive-starters-questionable-225118576.html,George Weston Limited
"SANTA CLARA – The 49ers had a dozen players who did not go through a full practice due to injuries, while Green Bay's headliner admitted he sustained setback to his left knee and did not step on the practice field, either.Quarterback Aaron Rodgers was",2018-10-12T01:12:59Z,"{'id': None, 'name': 'Yahoo.com'}",49ers-Packers injury report: Aaron Rodgers rests after knee setback,https://sports.yahoo.com/49ers-packers-injury-reports-aaron-011259535.html,George Weston Limited
"SANTA CLARA – Marquise Goodwin has returned to full practice this week, but three other 49ers wide receivers remain sidelined with injuries.Pierre Garcon (shoulder and knee), Trent Taylor (back) and Dante Pettis (knee) sat out practice Friday. Pettis",2018-10-12T23:28:15Z,"{'id': None, 'name': 'Yahoo.com'}",49ers-Packers injury report: Three wide receivers sit out Friday's practice,https://sports.yahoo.com/49ers-packers-injury-report-three-232815855.html,George Weston Limited
San Francisco 49ers running back Matt Breida questionable for game against Green Bay because of shoulder and ankle injuries,2018-10-13T21:18:44Z,"{'id': 'usa-today', 'name': 'USA Today'}",49ers RB Matt Breida questionable for game vs. Packers,https://www.usatoday.com/story/sports/nfl/2018/10/13/49ers-rb-matt-breida-questionable-for-game-vs-packers/38149297/?utm_source=google&utm_medium=amp&utm_campaign=speakable,George Weston Limited
John Daigle gets you caught up on Lamar Millers' chest and all the key injuries as we brace for Week 5.,2018-10-06T13:03:00Z,"{'id': None, 'name': 'Yahoo.com'}",Injury Report: Week 5,https://sports.yahoo.com/injury-report-week-5-130300846--spt.html,George Weston Limited
An extra day of rest might be just what San Francisco 49ers running back Matt Breida needs in order to play in Monday's road game versus the Green Bay Packers.,2018-10-14T20:17:09Z,"{'id': None, 'name': 'Upi.com'}","49ers RB Matt Breida making progress, iffy vs. Packers",https://www.upi.com/Sports_News/NFL/2018/10/14/49ers-RB-Matt-Breida-making-progress-iffy-vs-Packers/1521539547319/,George Weston Limited
Running backs play a key role in this week's Friday breakdown of the injury report,2018-10-05T21:33:26Z,"{'id': None, 'name': 'Cbssports.com'}","Week 5 NFL injuries: Joe Mixon, Devonta Freeman ready to return; Dalvin Cook, Lamar Miller in doubt",https://www.cbssports.com/nfl/news/week-5-nfl-injuries-joe-mixon-devonta-freeman-ready-to-return-dalvin-cook-lamar-miller-in-doubt/,George Weston Limited
John Daigle gets you caught up on Cooper Kupp's knee and all the key injuries as we brace for Week 7.,2018-10-20T13:31:00Z,"{'id': None, 'name': 'Yahoo.com'}",Injury Report: Week 7,https://sports.yahoo.com/injury-report-week-7-133100349--spt.html,George Weston Limited
Comments,2018-10-05T09:40:05Z,"{'id': None, 'name': 'Stanford.edu'}",Amanuensis: The Programmer's Apprentice,https://web.stanford.edu/class/cs379c/resources/amanuensis/index.html,George Weston Limited
The Green Bay Packers on Saturday listed starting receivers Randall Cobb and  Geronimo Allison as questionable with hamstring injuries for Monday night's ...,2018-10-13T21:57:56Z,"{'id': 'daily-mail', 'name': 'Daily Mail'}","Packers WRs Cobb, Allison questionable for 49ers",https://www.dailymail.co.uk/wires/reuters/article-6273377/Packers-WRs-Cobb-Allison-questionable-49ers.html,George Weston Limited
